goos: darwin
goarch: arm64
pkg: github.com/anacrolix/btree/bench
cpu: Apple M4 Max
BenchmarkErigon/UpsertBySize/n=100/ajwerner-16         	  743804	      1596 ns/op	    1200 B/op	       2 allocs/op
BenchmarkErigon/UpsertBySize/n=100/ajwerner-16         	  767720	      1582 ns/op	    1200 B/op	       2 allocs/op
BenchmarkErigon/UpsertBySize/n=100/ajwerner-16         	  728032	      1577 ns/op	    1200 B/op	       2 allocs/op
BenchmarkErigon/UpsertBySize/n=100/ajwerner-16         	  782814	      1583 ns/op	    1200 B/op	       2 allocs/op
BenchmarkErigon/UpsertBySize/n=100/ajwerner-16         	  722869	      1595 ns/op	    1200 B/op	       2 allocs/op
BenchmarkErigon/UpsertBySize/n=100/ajwerner-16         	  778148	      1573 ns/op	    1200 B/op	       2 allocs/op
BenchmarkErigon/UpsertBySize/n=100/tidwall-16          	  913986	      1312 ns/op	    2904 B/op	      20 allocs/op
BenchmarkErigon/UpsertBySize/n=100/tidwall-16          	  927705	      1309 ns/op	    2904 B/op	      20 allocs/op
BenchmarkErigon/UpsertBySize/n=100/tidwall-16          	  895468	      1324 ns/op	    2904 B/op	      20 allocs/op
BenchmarkErigon/UpsertBySize/n=100/tidwall-16          	  929472	      1318 ns/op	    2904 B/op	      20 allocs/op
BenchmarkErigon/UpsertBySize/n=100/tidwall-16          	  900021	      1323 ns/op	    2904 B/op	      20 allocs/op
BenchmarkErigon/UpsertBySize/n=100/tidwall-16          	  898494	      1310 ns/op	    2904 B/op	      20 allocs/op
BenchmarkErigon/UpsertBySize/n=100/google-16           	  567439	      2099 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/UpsertBySize/n=100/google-16           	  566395	      2089 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/UpsertBySize/n=100/google-16           	  597890	      2088 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/UpsertBySize/n=100/google-16           	  600123	      2090 ns/op	    3232 B/op	      24 allocs/op
BenchmarkErigon/UpsertBySize/n=100/google-16           	  582800	      2111 ns/op	    3232 B/op	      24 allocs/op
